Date,Team_1,Team_2,first_position,second_position
05-10-2023,England,New Zealand,5,5
06-10-2023,Pakistan ,Netherlands,2,14
07-10-2023,Bangladesh,Afghanistan,7,9
07-10-2023,South Africa,Sri Lanka,4,8
08-10-2023,India,Australia,1,2
09-10-2023,New Zealand,Netherlands,5,14
10-10-2023,England,Bangladesh,5,7
11-10-2023,India,Afghanistan,1,9
12-10-2023,Pakistan ,Sri Lanka,2,8
13-10-2023,Australia,South Africa,2,4
14-10-2023,New Zealand,Bangladesh,5,7
14-10-2023,England,Afghanistan,5,9
15-10-2023,India,Pakistan,1,2
16-10-2023,Australia,Sri Lanka,2,8
17-10-2023,South Africa,Netherlands,4,14
18-10-2023,New Zealand,Afghanistan,5,9
19-10-2023,India,Bangladesh,1,7
20-10-2023,Australia,Pakistan,2,2
21-10-2023,Netherlands,Sri Lanka,14,8
21-10-2023,England,South Africa,5,4
22-10-2023,India,New Zealand,1,4
23-10-2023,Pakistan ,Afghanistan,2,9
24-10-2023,South Africa,Bangladesh,4,7
25-10-2023,Australia,Netherlands,2,14
26-10-2023,England,Sri Lanka,5,8
27-10-2023,Pakistan ,South Africa,2,4
28-10-2023,Australia,New Zealand,2,5
28-10-2023,Netherlands,Bangladesh,14,7
29-10-2023,India,England,1,5
30-10-2023,Afghanistan,Sri Lanka,9,8
31-10-2023,Pakistan ,Bangladesh,2,7
01-11-2023,New Zealand,South Africa,5,4
02-11-2023,India,Sri Lanka,1,8
03-11-2023,Netherlands,Afghanistan,14,9
04-11-2023,New Zealand,Pakistan,5,2
04-11-2023,England,Australia,5,2
05-11-2023,India,South Africa,1,4
06-11-2023,Bangladesh,Sri Lanka,7,8
07-11-2023,Australia,Afghanistan,2,9
08-11-2023,England,Netherlands,5,14
09-11-2023,New Zealand,Sri Lanka,5,8
10-11-2023,South Africa,Afghanistan,4,9
11-11-2023,India,Netherlands,1,14
12-11-2023,Australia,Bangladesh,2,7
12-11-2023,England,Pakistan,5,2
